city,prov,time,pm25,pmnew
Nanyang,Henan,2017/4/1,37,34.29
Panjin,Liaoning,2017/4/1,36,34.24
Pingdingshan,Henan,2017/4/1,53,49.13
Pingliang,Gansu,2017/4/1,23,18.8
Qitaihe,Heilongjiang,2017/4/1,47,44.12
Qiqihaer,Heilongjiang,2017/4/1,35,33.13
Qinhuangdao,Hebei,2017/4/1,43,40.97
Qingdao,Shandong,2017/4/1,42,39.56
Qingyang,Gansu,2017/4/1,27,21.81
Rizhao,Shandong,2017/4/1,47,44.29
Sanmenxia,Henan,2017/4/1,42,37.76
Shangluo,Shaanxi,2017/4/1,25,21.73
Shangqiu,Henan,2017/4/1,54,50.68
Shenyang,Liaoning,2017/4/1,45,42.67
Shihezi,Xinjiang,2017/4/1,25,22.69
Shijiazhuang,Hebei,2017/4/1,53,49.02
Shuozhou,Shanxi,2017/4/1,35,29.54
Siping,Jilin,2017/4/1,42,39.56
Songyuan,Jilin,2017/4/1,30,28.29
Suihua,Heilongjiang,2017/4/1,39,36.85
Taiyuan,Shanxi,2017/4/1,49,42.47
Taian,Shandong,2017/4/1,48,38.83
Tangshan,Hebei,2017/4/1,66,62.19
Tianjin,Tianjin,2017/4/1,64,60.09
Tianshui,Gansu,2017/4/1,28,23.41
Tieling,Liaoning,2017/4/1,44,41.59
Tonghua,Jilin,2017/4/1,32,29.41
Tongliao,Inner Mongolia,2017/4/1,31,28.95
Tongchuan,Shaanxi,2017/4/1,34,29.63
Tulufan,Xinjiang,2017/4/1,28,25.87
Weihai,Shandong,2017/4/1,35,32.96
Weifang,Shandong,2017/4/1,55,51.72
Weinan,Shaanxi,2017/4/1,47,42.59
Wuhai,Inner Mongolia,2017/4/1,42,35.16
Ulanqab,Inner Mongolia,2017/4/1,25,20.5
Wulumuqi,Xinjiang,2017/4/1,27,23.35
Wuzhong,Ningxia,2017/4/1,22,18.31
Wuwei,Gansu,2017/4/1,21,15.98
Xining,Qinghai,2017/4/1,25,18.47
Xilingol League,Inner Mongolia,2017/4/1,15,12.96
Xianyang,Shaanxi,2017/4/1,52,46.56
Xinzhou,Shanxi,2017/4/1,48,41.5
Xinxiang,Henan,2017/4/1,52,48.32
Xinyang,Henan,2017/4/1,39,36.08
Xingtai,Hebei,2017/4/1,56,52.06
Hinggan League,Inner Mongolia,2017/4/1,20,18.24
Xuchang,Henan,2017/4/1,43,40.26
Yantai,Shandong,2017/4/1,41,38.64
Yanan,Shaanxi,2017/4/1,27,22.47
Yanbian,Jilin,2017/4/1,48,44.85
Yangquan,Shanxi,2017/4/1,53,45.82
Yichun,Heilongjiang,2017/4/1,20,18.87
Yilihasake,Xinjiang,2017/4/1,22,19.6
Yinchuan,Ningxia,2017/4/1,26,21.69
Yingkou,Liaoning,2017/4/1,37,35.29
Yulin,Shaanxi,2017/4/1,21,17.54
Yushu,Qinghai,2017/4/1,20,11.95
Yuncheng,Shanxi,2017/4/1,46,41.57
Zhangjiakou,Hebei,2017/4/1,25,21.78
Zhangye,Gansu,2017/4/1,16,12.95
Changchun,Jilin,2017/4/1,49,45.73
Changzhi,Shanxi,2017/4/1,49,41.68
Zhengzhou,Henan,2017/4/1,42,38.78
Zhongwei,Ningxia,2017/4/1,20,16.53
Zhoukou,Henan,2017/4/1,44,41.09
Zhumadian,Henan,2017/4/1,41,38.19
Zibo,Shandong,2017/4/1,59,54.61
Chifeng,Inner Mongolia,2017/4/1,27,23.92
Jinzhong,Shanxi,2017/4/1,45,39.14
Shuangyashan,Heilongjiang,2017/4/1,43,41.18
Alxa League,Inner Mongolia,2017/5/1,41,38.36
Ankang,Shaanxi,2017/5/1,32,28.67
Anyang,Henan,2017/5/1,24,21.84
Anshan,Liaoning,2017/5/1,30,27.63
Bayannur,Inner Mongolia,2017/5/1,32,26.46
Baicheng,Jilin,2017/5/1,19,17.43
Baotou,Inner Mongolia,2017/5/1,34,28.26
Baoji,Shaanxi,2017/5/1,32,27.28
Baoding,Hebei,2017/5/1,54,49.73
Beijing,Beijing,2017/5/1,48,43.92
Benxi,Liaoning,2017/5/1,28,25.66
Binzhou,Shandong,2017/5/1,44,40.44
Bozhou,Xinjiang,2017/5/1,21,18.76
Cangzhou,Hebei,2017/5/1,44,40.36
Changjizhou,Xinjiang,2017/5/1,26,22.99
Chaoyang,Liaoning,2017/5/1,28,25.44
Chengde,Hebei,2017/5/1,24,21.21
Dalian,Liaoning,2017/5/1,24,22.24
Daqing,Heilongjiang,2017/5/1,16,14.73
Datong,Shanxi,2017/5/1,25,20.72
Daxinganling,Heilongjiang,2017/5/1,8,7.28
Dandong,Liaoning,2017/5/1,24,22.59
Dezhou,Shandong,2017/5/1,38,34.97
Dingxi,Gansu,2017/5/1,28,20.49
Dongying,Shandong,2017/5/1,35,32.19
Ordos,Inner Mongolia,2017/5/1,21,16.6
Fushun,Liaoning,2017/5/1,28,25.87
Fuxin,Liaoning,2017/5/1,24,21.92
Gannan,Gansu,2017/5/1,32,21.32
Guyuan,Ningxia,2017/5/1,25,19.4
Guoluo,Qinghai,2017/5/1,22,13.71
Harbin,Heilongjiang,2017/5/1,24,22.17
Hami,Xinjiang,2017/5/1,22,18.61
Haibei,Qinghai,2017/5/1,24,NA
Haidong,Qinghai,2017/5/1,31,23.67
Hainan,Qinghai,2017/5/1,22,15.08
Haixi,Qinghai,2017/5/1,19,12.58
Handan,Hebei,2017/5/1,55,49.98
Hanzhong,Shaanxi,2017/5/1,46,40.26
Hetian,Xinjiang,2017/5/1,22.25,17.38
Heze,Shandong,2017/5/1,45,41.22
Hegang,Heilongjiang,2017/5/1,18,16.42
Heihe,Heilongjiang,2017/5/1,16,14.79
Hengshui,Hebei,2017/5/1,46,42.04
Hohhot,Inner Mongolia,2017/5/1,30,24.58
Hulunbuir,Inner Mongolia,2017/5/1,14,12.3
Huludao,Liaoning,2017/5/1,32,29.84
Huangnan,Qinghai,2017/5/1,26,17.98
Jixi,Heilongjiang,2017/5/1,27,24.64
Jilin,Jilin,2017/5/1,24,21.98
Jinan,Shandong,2017/5/1,42,37.72
Jining,Shandong,2017/5/1,34,31.13
Jinzhou,Liaoning,2017/5/1,31,28.68
Jincheng,Shanxi,2017/5/1,31,26.64
Jiuquan,Gansu,2017/5/1,17,13.4
Kaifeng,Henan,2017/5/1,25,22.74
Kelamayi,Xinjiang,2017/5/1,13,11.44
Kezilesu,Xinjiang,2017/5/1,19,14.99
Lanzhou,Gansu,2017/5/1,36,27.63
Langfang,Hebei,2017/5/1,40,36.77
Liaocheng,Shandong,2017/5/1,40,36.67
Linxia,Gansu,2017/5/1,30,22.75
Linyi,Shandong,2017/5/1,35,31.76
Longnan,Gansu,2017/5/1,24,19.69
Lvliang,Shanxi,2017/5/1,27,22.52
Luoyang,Henan,2017/5/1,36,31.83
Mudanjiang,Heilongjiang,2017/5/1,19,17.44
Nanyang,Henan,2017/5/1,30,27.21
Panjin,Liaoning,2017/5/1,24,22.43
Pingdingshan,Henan,2017/5/1,33,29.86
Pingliang,Gansu,2017/5/1,15,12.1
Qitaihe,Heilongjiang,2017/5/1,26,23.8
Qiqihaer,Heilongjiang,2017/5/1,20,18.38
Qinhuangdao,Hebei,2017/5/1,33,30.9
Qingdao,Shandong,2017/5/1,26,24.12
Qingyang,Gansu,2017/5/1,20,15.95
Rizhao,Shandong,2017/5/1,31,28.76
Sanmenxia,Henan,2017/5/1,27,23.76
Shangluo,Shaanxi,2017/5/1,26,22.26
Shangqiu,Henan,2017/5/1,37,33.97
Shenyang,Liaoning,2017/5/1,30,27.83
Shihezi,Xinjiang,2017/5/1,23,20.28
Shijiazhuang,Hebei,2017/5/1,56,50.67
Shuozhou,Shanxi,2017/5/1,32,26.34
Siping,Jilin,2017/5/1,24,22.04
Songyuan,Jilin,2017/5/1,14,12.89
Suihua,Heilongjiang,2017/5/1,14,12.84
Taiyuan,Shanxi,2017/5/1,39,32.93
Taian,Shandong,2017/5/1,36,28.56
Tangshan,Hebei,2017/5/1,45,41.44
Tianjin,Tianjin,2017/5/1,41,37.63
Tianshui,Gansu,2017/5/1,25,20.64
Tieling,Liaoning,2017/5/1,29,26.82
Tonghua,Jilin,2017/5/1,25,22.52
Tongliao,Inner Mongolia,2017/5/1,31,28.31
Tongchuan,Shaanxi,2017/5/1,25,21.4
Tulufan,Xinjiang,2017/5/1,23,20.62
Weihai,Shandong,2017/5/1,23,21.25
Weifang,Shandong,2017/5/1,33,30.36
Weinan,Shaanxi,2017/5/1,34,30.14
Wuhai,Inner Mongolia,2017/5/1,43,35.2
Ulanqab,Inner Mongolia,2017/5/1,22,17.58
Wulumuqi,Xinjiang,2017/5/1,24,20.19
Wuzhong,Ningxia,2017/5/1,28,22.85
Wuwei,Gansu,2017/5/1,17,12.67
Xining,Qinghai,2017/5/1,23,16.79
Xilingol League,Inner Mongolia,2017/5/1,18,15.08
Xianyang,Shaanxi,2017/5/1,45,39.56
Xinzhou,Shanxi,2017/5/1,45,37.9
Xinxiang,Henan,2017/5/1,28,25.4
Xinyang,Henan,2017/5/1,32,29.05
Xingtai,Hebei,2017/5/1,50,45.43
Hinggan League,Inner Mongolia,2017/5/1,21,18.68
Xuchang,Henan,2017/5/1,25,22.91
Yantai,Shandong,2017/5/1,25,23.07
Yanan,Shaanxi,2017/5/1,32,26.15
Yanbian,Jilin,2017/5/1,19,17.4
Yangquan,Shanxi,2017/5/1,41,34.55
Yichun,Heilongjiang,2017/5/1,15,13.72
Yilihasake,Xinjiang,2017/5/1,29,25.05
Yinchuan,Ningxia,2017/5/1,29,23.73
Yingkou,Liaoning,2017/5/1,24,22.42
Yulin,Shaanxi,2017/5/1,30,24.47
Yushu,Qinghai,2017/5/1,10,5.94
Yuncheng,Shanxi,2017/5/1,35,30.95
Zhangjiakou,Hebei,2017/5/1,25,21.24
Zhangye,Gansu,2017/5/1,10,7.89
Changchun,Jilin,2017/5/1,24,21.9
Changzhi,Shanxi,2017/5/1,35,29.08
Zhengzhou,Henan,2017/5/1,25,22.56
Zhongwei,Ningxia,2017/5/1,23,18.65
Zhoukou,Henan,2017/5/1,26,23.78
Zhumadian,Henan,2017/5/1,29,26.49
Zibo,Shandong,2017/5/1,41,36.97
Chifeng,Inner Mongolia,2017/5/1,27,23.35
Jinzhong,Shanxi,2017/5/1,33,27.92
Shuangyashan,Heilongjiang,2017/5/1,22,20.43
Alxa League,Inner Mongolia,2017/6/1,40,36.66
Ankang,Shaanxi,2017/6/1,25,21.99
Anyang,Henan,2017/6/1,43,38.83
Anshan,Liaoning,2017/6/1,37,33.48
Bayannur,Inner Mongolia,2017/6/1,27,21.97
Baicheng,Jilin,2017/6/1,22,19.81
Baotou,Inner Mongolia,2017/6/1,33,27
Baoji,Shaanxi,2017/6/1,28,23.45
Baoding,Hebei,2017/6/1,54,49.05
